Name,Creator,Image,Description,Difficulty,Time,Paper Shape,Sheets,Image_GitHub
Stegosaurus,Imai Yudai,https://origami-database.com/wp-content/uploads/DSC02630-export-900x900.jpg,"Standing dinosaur with large body, 8 plates on its back and a four-spiked thagomizer.",Intermediate,1 hour 35 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02630-export-900x900.jpg
Tapejara,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02655-export-3000x3000.jpg,Flying dinosaur with large wings and large crest on its head.,Intermediate,1 hour,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02655-export-3000x3000.jpg
Snail chopstick rest,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC02624-export-900x900.jpg,Simple snail model with eyestalks and coiled shell.,Easy,7 minutes,Chopstick wrapper,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02624-export-900x900.jpg
Ankylosaurus,Stephen O'Hanlon,https://origami-database.com/wp-content/uploads/DSC02620-export-scaled.jpg,Standing ankylosaurus with distinctive spikes at its sides.,Intermediate,1 hour 20 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02620-export-scaled.jpg
Praying Mantis,Jeremy Shafer,https://origami-database.com/wp-content/uploads/DSC02612-export-scaled.jpg,"Insect standing on four legs, with two distinctive raptorial front legs.",Intermediate,48 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02612-export-scaled.jpg
Dimetrodon,Wasun N.,https://origami-database.com/wp-content/uploads/DSC02636-export-3000x3000.jpg,Quadruped model with reverse-colored sail and eyes.,Intermediate,1 hour 35 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02636-export-3000x3000.jpg
The Shadow of Dragon,Ke Yan Wang,https://origami-database.com/wp-content/uploads/DSC02634-export-900x900.jpg,Nearly flat dragon shape on a reverse-colored diamond.,Intermediate,53 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02634-export-900x900.jpg
Goat,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02602-export-900x900.jpg,Standing goat with distinctive eyes and two horns.,Intermediate,47 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02602-export-900x900.jpg
Winged Sonobe (icosahedron),Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC02639-export-scaled.jpg,"Modular, winged polyhedron model folded from 30 sheets.",Intermediate,2 hours 4 minutes,Square,30 sheets,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02639-export-scaled.jpg
Winged Sonobe (star tetrahedron),Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC02610-export.jpg,Stellated octahedron model made from winged Sonobe modules.,Intermediate,1 hour,Square,12 sheets,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02610-export.jpg
Fox 2015,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02605-export-900x900.jpg,Standing fox with distinctive face and reverse-colored tail tip.,Intermediate,38 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02605-export-900x900.jpg
Rooster,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02603-export-900x900.jpg,"Rooster with reverse-colored wattle, comb and legs.",Intermediate,45 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02603-export-900x900.jpg
Bactrian Camel,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC02591-export-900x900.jpg,Abstract standing camel model with two humps.,Intermediate,35 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02591-export-900x900.jpg
Flying squirrel,Wasun N.,https://origami-database.com/wp-content/uploads/DSC02597-export-900x900.jpg,"Nearly flat squirrel model, with a head that features a nose, ears and eyes.",Intermediate,52 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02597-export-900x900.jpg
Tulip and Stem,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC02588-export-scaled.jpg,Four-petalled flower with large stigma on a stem with a single leaf.,Moderate,8 minutes,Square,2 sheets,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02588-export-scaled.jpg
Penguin,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC02580-export-900x900.jpg,Traditional penguin model with single foot.,Easy,7 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02580-export-900x900.jpg
Masu box and Insert,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC02584-export-900x900.jpg,Square container with four separate compartments.,Moderate,15 minutes,Square,3 sheets,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02584-export-900x900.jpg
Ship,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC02572-export.jpg,Hollow boat model with two decks.,Moderate,16 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02572-export.jpg
Fancy Goldfish,Chris Alexander,https://origami-database.com/wp-content/uploads/DSC02586-export.jpg,Simple fish model with hanging tail fin.,Easy,7 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02586-export.jpg
Seal,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC02578-export.jpg,Traditional abstract seal model with two front flippers.,Easy,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02578-export.jpg
Bride,Jo Nakashima,https://origami-database.com/wp-content/uploads/DSC02570-export.jpg,Boxy bride with long veil.,Moderate,23 minutes,Other,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02570-export.jpg
Groom,Jo Nakashima,https://origami-database.com/wp-content/uploads/DSC02567-export-900x900.jpg,Boxy groom with spikey hair and reverse-colored face and undershirt.,Moderate,21 minutes,Other,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02567-export-900x900.jpg
Dress ver.1,Sarjigami,https://origami-database.com/wp-content/uploads/DSC02557-export-900x900.jpg,Flat dress model with wide skirt.,Moderate,11 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02557-export-900x900.jpg
Bicycle,Marc Kirschenbaum,https://origami-database.com/wp-content/uploads/DSC02554-export-900x900.jpg,Bicycle with distinctive frame and reverse-colored wheels.,Hard,3 hours 5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02554-export-900x900.jpg
Human Figure,Claudio Acuña Jiménez,https://origami-database.com/wp-content/uploads/DSC02549-export-900x900.jpg,Standing humanoid figure with reverse-colored face.,Moderate,14 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02549-export-900x900.jpg
Frying Pan,Fumiaki Shingu,https://origami-database.com/wp-content/uploads/DSC02520-export-900x900.jpg,Square skillet model.,Moderate,8 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02520-export-900x900.jpg
