Name,Creator,Image,Description,Difficulty,Time,Paper Shape,Sheets,Image_GitHub
Kiwi,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02251-export-scaled.jpg,Standing kiwi bird with reverse-colored beak and feet.,Moderate,20 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02251-export-scaled.jpg
Wyvern,John Montroll,https://origami-database.com/wp-content/uploads/DSC02233-export-3000x3000.jpg,Wyvern model with horned head.,Intermediate,43 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02233-export-3000x3000.jpg
Three-headed Dragon,John Montroll,https://origami-database.com/wp-content/uploads/DSC02236-export-900x900.jpg,Three-headed bipedal dragon with horned heads and two claws.,Intermediate,1 hour 35 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02236-export-900x900.jpg
A Butterfly for Mr. Makoto Yamaguchi,Michael LaFosse,https://origami-database.com/wp-content/uploads/DSC02231-export-900x900.jpg,Butterfly with reverse-colored body and wing details.,Moderate,22 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02231-export-900x900.jpg
Cerberus,John Montroll,https://origami-database.com/wp-content/uploads/DSC02229-export-900x900.jpg,Standing three-headed dog model.,Intermediate,43 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02229-export-900x900.jpg
Griffin,John Montroll,https://origami-database.com/wp-content/uploads/DSC02225-export-scaled.jpg,"Griffin model pronounced beak, ears and wings.",Intermediate,50 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02225-export-scaled.jpg
Pegasus,John Montroll,https://origami-database.com/wp-content/uploads/DSC02226-export-900x900.jpg,Winged horse model with one-sided mane.,Intermediate,50 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02226-export-900x900.jpg
Bride,Tadashi Mori,https://origami-database.com/wp-content/uploads/DSC02223-export2-900x900.jpg,Female figure in long wedding dress with veil.,Intermediate,47 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02223-export2-900x900.jpg
Groom,Tadashi Mori,https://origami-database.com/wp-content/uploads/DSC02221-export-900x900.jpg,Humanoid figure in suit.,Moderate,40 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02221-export-900x900.jpg
Unicorn,John Montroll,https://origami-database.com/wp-content/uploads/DSC02215-export-scaled.jpg,"Standing unicorn with long, twisted horn.",Intermediate,46 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02215-export-scaled.jpg
Snapping turtle,John Szinger,https://origami-database.com/wp-content/uploads/DSC02216-export-900x900.jpg,3D turtle model with segmented shell and claws with five digits.,Intermediate,1 hour 50 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02216-export-900x900.jpg
Rooster,John Montroll,https://origami-database.com/wp-content/uploads/DSC02185-export.jpg,Standing rooster model.,Intermediate,35 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02185-export.jpg
Ram,John Montroll,https://origami-database.com/wp-content/uploads/DSC02183-export.jpg,Standing ram model with distinctive horns and beard.,Intermediate,32 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02183-export.jpg
Dog,John Montroll,https://origami-database.com/wp-content/uploads/DSC02182-export.jpg,Standing dog model with hanging ears.,Moderate,31 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02182-export.jpg
Monkey,John Montroll,https://origami-database.com/wp-content/uploads/DSC02178-export-900x900.jpg,Monkey standing on its hind legs with curled tail and distinctive face.,Intermediate,39 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02178-export-900x900.jpg
Sea Serpent,John Montroll,https://origami-database.com/wp-content/uploads/DSC02187-export-3000x3000.jpg,Long-tailed serpent with wings and horned head.,Moderate,29 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02187-export-3000x3000.jpg
Horse,John Montroll,https://origami-database.com/wp-content/uploads/DSC02101-export-scaled.jpg,Horse model with mane on one side.,Moderate,28 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02101-export-scaled.jpg
Boar,John Montroll,https://origami-database.com/wp-content/uploads/DSC02103-export-3000x3000.jpg,"Model with distinctive body shape, tail, tusks and snout.",Moderate,30 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02103-export-3000x3000.jpg
Pegasus,Dong Viet Thien,https://origami-database.com/wp-content/uploads/DSC02111-export-900x900.jpg,"Detailed pegasus model with reverse-colored wing sides, mane and eyes.",Hard,2 hours 35 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02111-export-900x900.jpg
Winged Sonobe (cube),Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01808-export.jpg,Modular origami cube made from six sheets.,Moderate,23 minutes,Square,6 sheets,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01808-export.jpg
Metapod,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02106-export-900x900.jpg,Cocooned insect from the Pokémon franchise.,Moderate,17 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02106-export-900x900.jpg
Eagle,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC01989-export.jpg,Abstract eagle model with distinctive beak.,Moderate,10 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01989-export.jpg
Parasaurolophus,Phạm Hoàng Tuấn,https://origami-database.com/wp-content/uploads/DSC01988-export-scaled.jpg,Quadruped dinosaur model with large body.,Moderate,27 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01988-export-scaled.jpg
Centaur,John Montroll,https://origami-database.com/wp-content/uploads/DSC01985-export.jpg,Centaur model with a humanoid head and torso and the body of a horse.,Intermediate,27 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01985-export.jpg
American Turkey,John Szinger,https://origami-database.com/wp-content/uploads/DSC01986-export-3000x3000.jpg,Bird model with reverse-colored elements and detailed tail feathers.,Hard,1 hour 45 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01986-export-3000x3000.jpg
Chimera,John Montroll,https://origami-database.com/wp-content/uploads/DSC01980-export-900x900.jpg,"Winged mythological creature with the heads of a snake, lion and goat.",Intermediate,1 hour 15 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01980-export-900x900.jpg
Snake,John Montroll,https://origami-database.com/wp-content/uploads/DSC01979-export.jpg,Snake model with reverse-colored eye.,Moderate,16 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01979-export.jpg
Dilophosaurus 1.8,Juanfran Carrillo,https://origami-database.com/wp-content/uploads/DSC01899-export-900x900.jpg,"Standing dinosaur model with open mouth, large reverse-colored neck frill and claws and feet with three digits.",Hard,3 hours 15 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01899-export-900x900.jpg
Horse,Jun Maekawa,https://origami-database.com/wp-content/uploads/DSC01894-export.jpg,Horse model with mane and ears.,Moderate,31 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01894-export.jpg
Pelican,John Montroll,https://origami-database.com/wp-content/uploads/DSC01897-export.jpg,Standing pelican model with open beak.,Moderate,15 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01897-export.jpg
Fortune teller,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01885-export.jpg,Model used in games to tell the player’s fortune by choosing colors or numbers written on the different flaps.,Easy,4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01885-export.jpg
Seated Lady,Robert J. Lang,https://origami-database.com/wp-content/uploads/DSC01888-export-scaled.jpg,Abstract figure of a person with hood sitting in a rocking chair.,Moderate,21 minutes,1:1.5 rectangle,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01888-export-scaled.jpg
Brachiosaurus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01892-export-scaled.jpg,Quadruped dinosaur model with long neck and distinctive head shape.,Moderate,18 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01892-export-scaled.jpg
Mountain & Volcano,John Montroll,https://origami-database.com/wp-content/uploads/DSC01883-export-900x900.jpg,Conical origami model that can be modified to represent a vulcano.,Easy,6 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01883-export-900x900.jpg
Cracked dinosaur egg,John Montroll,https://origami-database.com/wp-content/uploads/DSC01884-export.jpg,Model of a cracked-open dinosaur egg.,Easy,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01884-export.jpg
Ward,Weesel,https://origami-database.com/wp-content/uploads/DSC01889-export.jpg,The default vision ward from the League of Legends video game.,Intermediate,33 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01889-export.jpg
Gryposaurus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01852-export-3000x3000.jpg,Standing dinosaur with distinctive nose.,Moderate,21 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01852-export-3000x3000.jpg
Iguandon,John Montroll,https://origami-database.com/wp-content/uploads/DSC01850-export-scaled.jpg,Bipedal dinosaur with spike-like thumbs and toes with three digits.,Intermediate,50 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01850-export-scaled.jpg
Triceratops,John Montroll,https://origami-database.com/wp-content/uploads/DSC01846-export-3000x3000.jpg,Dinosaur model with crest and large horns on its head.,Hard,59 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01846-export-3000x3000.jpg
Styracosaurus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01849-export-3000x3000.jpg,Quadruped dinosaur with six spikes extending from its neck frill and a single large horn on its nose.,Hard,59 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01849-export-3000x3000.jpg
Prehistoric tree,John Montroll,https://origami-database.com/wp-content/uploads/DSC01845-export.jpg,Abstract tree with two branches.,Easy,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01845-export.jpg
Hadrosaurus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01840-export-scaled.jpg,Bipedal dinosaur with feet with three digits and sharp claws.,Intermediate,52 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01840-export-scaled.jpg
Stegosaurus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01825-export-900x900.jpg,"Quadruped dinosaur with reverse-colored eye, four tail spikes and 8 plates on its back.",Hard,1 hour 33 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01825-export-900x900.jpg
Tenontosaurus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01835-export-3000x3000.jpg,"Dinosaur model with open mouth, standing on four legs.",Intermediate,24 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01835-export-3000x3000.jpg
Struthiomimus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01832-export2-scaled.jpg,Bipedal dinosaur model with long neck and pointy head.,Intermediate,29 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01832-export2-scaled.jpg
Parasaurolophus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01831-export-3000x3000.jpg,"Dinosaur model standing on two legs, with a large cranial crest.",Moderate,23 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01831-export-3000x3000.jpg
Sphaerotholus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01837-export-3000x3000.jpg,Bipedal dinosaur with domed head.,Intermediate,24 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01837-export-3000x3000.jpg
Coelophysis,John Montroll,https://origami-database.com/wp-content/uploads/DSC01804-export-3000x3000.jpg,Spindly bipedal dinosaur model with very long neck and open mouth.,Moderate,29 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01804-export-3000x3000.jpg
Compsognathus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01807-export-3000x3000.jpg,Dinosaur model with open mouth and long legs and neck.,Moderate,31 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01807-export-3000x3000.jpg
Protoceratops,John Montroll,https://origami-database.com/wp-content/uploads/DSC01838-export-3000x3000.jpg,Four-legged dinosaur model with large neck frill.,Moderate,28 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01838-export-3000x3000.jpg
Snowman,Yoo Tae Yong,https://origami-database.com/wp-content/uploads/DSC01810-export-900x900.jpg,"Snowman with reverse-colored hat, eyes, nose, scarf and arms.",Intermediate,50 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01810-export-900x900.jpg
Standing fan,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01795-export-900x900.jpg,"A simple, standing fan that can be folded from a napkin.",Easy,3 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01795-export-900x900.jpg
Masu box,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01797-export.jpg,Simple square box with open top.,Easy,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01797-export.jpg
Puffy star,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01798-export.jpg,3D star with five points.,Easy,3 minutes,Other,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01798-export.jpg
Star box masu,Darren Scott,https://origami-database.com/wp-content/uploads/DSC01799-export-900x900.jpg,"Square box with a lid, with a star-shaped symbol.",Easy,14 minutes,Square,2 sheets,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01799-export-900x900.jpg
Orb Weaver,Robert J. Lang,https://origami-database.com/wp-content/uploads/DSC01789-export-900x900.jpg,Eight-legged spider with spherical abdomen.,Hard,1 hour 40 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01789-export-900x900.jpg
Chunky Whale,Yoshihisa Kimura,https://origami-database.com/wp-content/uploads/DSC01776-export-900x900.jpg,Blocky origami whale model with reverse-colored ventral pleats.,Moderate,16 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01776-export-900x900.jpg
Seahorse,Gerwin Sturm,https://origami-database.com/wp-content/uploads/DSC01788-export-scaled.jpg,Seahorse model with segmented tail.,Easy,12 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01788-export-scaled.jpg
Cup,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01784-export-2.jpg,Simple cup with reverse-colored inside.,Easy,2 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01784-export-2.jpg
Origami Austria Swan,Anna Kastlunger,https://origami-database.com/wp-content/uploads/DSC01780-export-3000x3000.jpg,Abstract bird model with reverse-colored head and wings.,Easy,4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01780-export-3000x3000.jpg
Ox,John Montroll,https://origami-database.com/wp-content/uploads/DSC01772-export2-scaled.jpg,Bovine model with reverse-colored horns.,Intermediate,31 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01772-export2-scaled.jpg
Chinese Dragon,John Montroll,https://origami-database.com/wp-content/uploads/DSC01771-export-900x900.jpg,Long dragon model with open mouth and horned head.,Intermediate,35 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01771-export-900x900.jpg
Menko,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01774-export.jpg,Square card for playing Menko.,Moderate,7 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01774-export.jpg
Rat,John Montroll,https://origami-database.com/wp-content/uploads/DSC01760-export-3000x3000.jpg,Standing rat model.,Intermediate,21 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01760-export-3000x3000.jpg
Fox,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01782-export-scaled.jpg,Simple origami fox with reverse-colored breast.,Easy,4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01782-export-scaled.jpg
Tiger,John Montroll,https://origami-database.com/wp-content/uploads/DSC01764-export-scaled.jpg,Standing tiger with recognizable head.,Moderate,23 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01764-export-scaled.jpg
Rabbit,John Montroll,https://origami-database.com/wp-content/uploads/DSC01763-export.jpg,Standing rabbit model with pronounced head and ears.,Moderate,24 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01763-export.jpg
Club,John Montroll,https://origami-database.com/wp-content/uploads/DSC01758-export.jpg,The diamonds playing card suit.,Intermediate,17 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01758-export.jpg
Heart,John Montroll,https://origami-database.com/wp-content/uploads/DSC01757-export.jpg,The hearts playing card suit.,Moderate,10 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01757-export.jpg
Spade,John Montroll,https://origami-database.com/wp-content/uploads/DSC01755-export-scaled.jpg,The spades playing card suit.,Moderate,8 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01755-export-scaled.jpg
Diamond,John Montroll,https://origami-database.com/wp-content/uploads/DSC01756-export.jpg,The diamonds playing card suit.,Moderate,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01756-export.jpg
Deep Sea Angler Fish,John Montroll,https://origami-database.com/wp-content/uploads/DSC01748-export-900x900.jpg,"Anglerfish model with reverse-colored eyes, teeth, esca, and beard.",Hard,58 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01748-export-900x900.jpg
Chameleon,Jo Nakashima,https://origami-database.com/wp-content/uploads/DSC01734-export.jpg,Chameleon with open mouth and reverse-colored eyes.,Moderate,26 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01734-export.jpg
Eastern Dragon,Yellow Paper Origami,https://origami-database.com/wp-content/uploads/DSC01729-export.jpg,Long standing quadruped dragon with no wings.,Intermediate,37 minutes,1:2 rectangle,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01729-export.jpg
Waterbender,Kevin Hutson,https://origami-database.com/wp-content/uploads/DSC01712-export-900x900.jpg,Model of a kneeling humanoid figure creating water.,Moderate,15 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01712-export-900x900.jpg
Senbazuru (square),Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01753-export-900x900.jpg,"A pattern of crane models, joined together by head, tail and wings.",Intermediate,1 hour 36 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01753-export-900x900.jpg
Lop-eared rabbit,Chris Alexander,https://origami-database.com/wp-content/uploads/DSC01740-export.jpg,Abstract sitting rabbit with pronounced ears and tail.,Moderate,9 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01740-export.jpg
Lily,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01737-export-900x900.jpg,Traditional origami lily with four petals and stamen.,Moderate,10 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01737-export-900x900.jpg
Crested bird,Chris Alexander,https://origami-database.com/wp-content/uploads/DSC01747-export-scaled.jpg,Abstract bird model with crested head.,Moderate,14 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01747-export-scaled.jpg
Frame,Chris Alexander,https://origami-database.com/wp-content/uploads/DSC01745-export-900x900.jpg,A picture frame to put a photo in.,Moderate,18 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01745-export-900x900.jpg
Frog,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01766-export-900x900.jpg,Traditional origami frog model.,Moderate,14 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01766-export-900x900.jpg
Girl Figure,Weesel,https://origami-database.com/wp-content/uploads/DSC01702-export-900x900.jpg,Standing female figure with hood and long skirt.,Intermediate,42 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01702-export-900x900.jpg
Penguin,Jo Nakashima,https://origami-database.com/wp-content/uploads/DSC01727-export-900x900.jpg,Standing 3D penguin with hollow body.,Moderate,20 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01727-export-900x900.jpg
Senbazuru (line),Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01735-export-3000x3000.jpg,Renzuru model of a line of cranes joined tail to wing and wing to head.,Intermediate,25 minutes,1:3 rectangle,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01735-export-3000x3000.jpg
Hokkido Squirrel,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC01724-export-900x900.jpg,Sitting squirrel model with reverse-colored belly.,Intermediate,28 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01724-export-900x900.jpg
Unicorn,Imai Yudai,https://origami-database.com/wp-content/uploads/DSC01722-export-900x900.jpg,"Abstract flat horned horse with reverse-colored horn, manes, tail and hooves.",Moderate,27 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01722-export-900x900.jpg
Speedboat,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01619-export-900x900.jpg,Boat model with windshield and two rear fins.,Intermediate,10 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01619-export-900x900.jpg
Dratini,Adilio Toledo,https://origami-database.com/wp-content/uploads/DSC01635-export-900x900.jpg,Model of the serpentine Pokémon Dratini with fins on the side of its head.,Intermediate,31 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01635-export-900x900.jpg
Little toad,Román Díaz,https://origami-database.com/wp-content/uploads/DSC01637-export-900x900.jpg,Toad model with reverse-colored eyes and underside.,Moderate,19 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01637-export-900x900.jpg
Cat,Chris Alexander,https://origami-database.com/wp-content/uploads/DSC01638-export2-900x900.jpg,Simple abstract sitting cat model.,Moderate,8 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01638-export2-900x900.jpg
Fox mask,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01618-export.jpg,Fox hand puppet head that can be animated.,Moderate,4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01618-export.jpg
Nargacuga,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC01614-export-900x900.jpg,Wyvern model from the Monster Hunter series.,Intermediate,1 hour 10 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01614-export-900x900.jpg
Allosaurus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01588-export-3000x3000.jpg,Bipedal dinosaur model with open mouth.,Moderate,21 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01588-export-3000x3000.jpg
Senbazuru (kissing cranes),Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01597-export-900x900.jpg,Renzuru model of four cranes joined by head.,Moderate,16 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01597-export-900x900.jpg
Senbazuru (conjoined),Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01590-export-900x900.jpg,Renzuru model of two cranes joined by wing.,Moderate,9 minutes,1:2 rectangle,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01590-export-900x900.jpg
Puppet,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01593-export-900x900.jpg,Finger puppet of a cat or a pig.,Easy,3 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01593-export-900x900.jpg
Tyrannosaurus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01586-export-3000x3000.jpg,Bipedal standing dinosaur model with characteristic short arms and open mouth.,Moderate,23 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01586-export-3000x3000.jpg
Flapping bird,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01595-export-900x900.jpg,The flapping variant of the traditional origami crane.,Moderate,4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01595-export-900x900.jpg
Little frog,Román Díaz,https://origami-database.com/wp-content/uploads/DSC01603-export-900x900.jpg,Round frog model with reverse-colored eyes and underside.,Moderate,14 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01603-export-900x900.jpg
Darkness Dragon 2.0,Tadashi Mori,https://origami-database.com/wp-content/uploads/DSC01582-export-900x900.jpg,"Quadruped dragon model with segmented tail, talons with three digits and large horns on its head.",Hard,2 hours 40 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01582-export-900x900.jpg
Lizard,Weesel,https://origami-database.com/wp-content/uploads/DSC01573-export-3000x3000.jpg,"Plain, standing lizard model.",Moderate,20 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01573-export-3000x3000.jpg
Spinosaurus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01575-export-900x900.jpg,Standing dinosaur with large sail on its back.,Moderate,21 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01575-export-900x900.jpg
